CompositeId,Refactorings,Project,Previous Commit,Current Commit,Smell Type,Smell_Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
709,"['Extract Method', 'Rename Method', 'Rename Variable', 'Change Variable Type']",dubbo,ea459212218696808fbf6cbbd579e31f748eec17,dbab8c5ba78fd7c0afadc9154b7b445b19a8cf64,LongMethod,1,0,0,0,0
709,"['Extract Method', 'Rename Method', 'Rename Variable', 'Change Variable Type']",dubbo,ea459212218696808fbf6cbbd579e31f748eec17,dbab8c5ba78fd7c0afadc9154b7b445b19a8cf64,LongParameterList,1,1,0,0,0
709,"['Extract Method', 'Rename Method', 'Rename Variable', 'Change Variable Type']",dubbo,ea459212218696808fbf6cbbd579e31f748eec17,dbab8c5ba78fd7c0afadc9154b7b445b19a8cf64,FeatureEnvy,0,1,1,0,0
726,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,0f860003e38896a7f3620bf7a8d525973b40ac9e,215ed36641fbe7561538be4038db44163fa6e5fd,LongParameterList,1,2,1,0,0
726,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,0f860003e38896a7f3620bf7a8d525973b40ac9e,215ed36641fbe7561538be4038db44163fa6e5fd,FeatureEnvy,1,1,0,0,0
726,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,0f860003e38896a7f3620bf7a8d525973b40ac9e,215ed36641fbe7561538be4038db44163fa6e5fd,LongMethod,1,0,0,0,0
726,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,0f860003e38896a7f3620bf7a8d525973b40ac9e,215ed36641fbe7561538be4038db44163fa6e5fd,DispersedCoupling,1,0,0,0,0
773,"['Rename Variable', 'Extract Method']",dubbo,e172b29ffc80b0c4f2cffcc232555b1ab49c689f,95ebfe8b5a93942d3c3928ad5e9cd4709c76886a,FeatureEnvy,1,1,0,0,0
773,"['Rename Variable', 'Extract Method']",dubbo,e172b29ffc80b0c4f2cffcc232555b1ab49c689f,95ebfe8b5a93942d3c3928ad5e9cd4709c76886a,LongMethod,1,0,0,0,0
773,"['Rename Variable', 'Extract Method']",dubbo,e172b29ffc80b0c4f2cffcc232555b1ab49c689f,95ebfe8b5a93942d3c3928ad5e9cd4709c76886a,LongParameterList,1,2,1,0,0
775,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,1b8d952935373ef3897add35b9572b006d3dbfaa,e172b29ffc80b0c4f2cffcc232555b1ab49c689f,FeatureEnvy,4,5,1,0,0
775,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,1b8d952935373ef3897add35b9572b006d3dbfaa,e172b29ffc80b0c4f2cffcc232555b1ab49c689f,LongMethod,3,2,0,1,0
775,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,1b8d952935373ef3897add35b9572b006d3dbfaa,e172b29ffc80b0c4f2cffcc232555b1ab49c689f,IntensiveCoupling,1,1,0,0,0
775,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,1b8d952935373ef3897add35b9572b006d3dbfaa,e172b29ffc80b0c4f2cffcc232555b1ab49c689f,DispersedCoupling,2,2,0,0,0
787,"['Rename Method', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Extract Method']",dubbo,1a88c22574cbb621bae5edadb2f2abd1cd9784d6,1bc1312c300ffa17713a665032d2154b12f91424,FeatureEnvy,3,5,2,0,0
787,"['Rename Method', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Extract Method']",dubbo,1a88c22574cbb621bae5edadb2f2abd1cd9784d6,1bc1312c300ffa17713a665032d2154b12f91424,LongMethod,3,0,0,0,0
787,"['Rename Method', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Extract Method']",dubbo,1a88c22574cbb621bae5edadb2f2abd1cd9784d6,1bc1312c300ffa17713a665032d2154b12f91424,DispersedCoupling,2,2,0,0,0
787,"['Rename Method', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Extract Method']",dubbo,1a88c22574cbb621bae5edadb2f2abd1cd9784d6,1bc1312c300ffa17713a665032d2154b12f91424,ShotgunSurgery,1,1,0,0,0
787,"['Rename Method', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Extract Method']",dubbo,1a88c22574cbb621bae5edadb2f2abd1cd9784d6,1bc1312c300ffa17713a665032d2154b12f91424,MessageChain,0,2,1,0,0
801,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,ab497bc719a5ca632481466ac907085cde5b84b9,59cbe69f281d2aff7aebb65bcb3d2c3a11872d32,MessageChain,1,1,0,0,0
801,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,ab497bc719a5ca632481466ac907085cde5b84b9,59cbe69f281d2aff7aebb65bcb3d2c3a11872d32,FeatureEnvy,2,1,0,1,0
801,"['Extract Method', 'Extract Method', 'Extract Method']",dubbo,ab497bc719a5ca632481466ac907085cde5b84b9,59cbe69f281d2aff7aebb65bcb3d2c3a11872d32,IntensiveCoupling,1,0,0,0,0
806,"['Extract Method', 'Extract Method']",dubbo,ddf0cbaf2bec5d9a0844a1cff791113e017392a4,e3f577377e18778184f8954a03312545cf8fcfaf,FeatureEnvy,2,0,0,0,0
855,"['Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Extract Method', 'Change Attribute Type', 'Change Return Type', 'Change Attribute Type', 'Rename Variable', 'Change Attribute Type', 'Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Extract Method', 'Change Variable Type']",dubbo,ce4defa5a0b83af9fcc40bb063c2c2b5c81c8d28,9d4b6cbaae3adce765b0b1dba6a50a92e504c7b1,FeatureEnvy,4,1,0,3,0
855,"['Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Extract Method', 'Change Attribute Type', 'Change Return Type', 'Change Attribute Type', 'Rename Variable', 'Change Attribute Type', 'Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Extract Method', 'Change Variable Type']",dubbo,ce4defa5a0b83af9fcc40bb063c2c2b5c81c8d28,9d4b6cbaae3adce765b0b1dba6a50a92e504c7b1,IntensiveCoupling,1,3,2,0,0
855,"['Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Extract Method', 'Change Attribute Type', 'Change Return Type', 'Change Attribute Type', 'Rename Variable', 'Change Attribute Type', 'Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Extract Method', 'Change Variable Type']",dubbo,ce4defa5a0b83af9fcc40bb063c2c2b5c81c8d28,9d4b6cbaae3adce765b0b1dba6a50a92e504c7b1,LongMethod,1,0,0,0,0
